,Sub_Zone,Segment,Longitude,Latitude,Sed_Thick,Age,Dip,Vel,Rough,sSSE,lSSE,Max_mag
187,Cascadia,23.0,-125.2592426,43.27603011,562.7450199,3.630943795,10.29534176,36.16485863,14.81911395,Y,N,5.96
188,Cascadia,24.0,-125.2783957,43.50048565,638.2572797,4.41573062,10.29800905,36.4357105,11.33260247,Y,N,0.0
189,Cascadia,25.0,-125.2975458,43.72493673,668.097111,5.060462745,11.41092907,36.71191224,9.353701514,Y,N,5.2
190,Cascadia,26.0,-125.3166973,43.94938302,688.4820424,5.620122104,12.80050193,36.98365179,8.536767406,Y,N,5.2
191,Cascadia,27.0,-125.3358502,44.17382453,712.6269589,6.205476397,13.5210383,37.25190599,5.610931161,Y,N,0.0
192,Cascadia,28.0,-125.3550045,44.39826126,767.0628781,6.50122823,13.23328283,37.52927924,2.662559502,Y,N,0.0
193,Cascadia,29.0,-125.3741603,44.62269321,821.3259177,6.456225438,12.33117246,37.80224861,3.666674372,Y,N,0.0
194,Cascadia,30.0,-125.3933176,44.84712036,859.7783985,6.335385163,11.48630925,38.07157732,5.052614361,Y,N,0.0
195,Cascadia,31.0,-125.4124728,45.07154299,889.1983473,6.194220548,11.11032847,38.34532827,3.665121133,Y,N,0.0
196,Cascadia,32.0,-125.4316219,45.29596135,911.787846,6.000835172,11.25044,38.61533892,2.75117205,Y,N,0.0
197,Cascadia,33.0,-125.46032,45.51924031,929.0042854,5.903826392,11.95022258,38.89032913,2.726169991,Y,N,0.0
198,Cascadia,34.0,-125.5231658,45.7384742,951.730574,5.964783253,12.32878225,39.17533025,3.140799672,Y,N,0.0
199,Cascadia,35.0,-125.6106809,45.95481538,969.4177235,5.706797333,11.86462749,39.46130383,3.276448628,Y,N,0.0
200,Cascadia,36.0,-125.6982318,46.17120896,961.4854003,5.450026296,11.13662586,39.75613663,3.348608959,Y,N,0.0
201,Cascadia,37.0,-125.7858189,46.38765496,928.5826769,5.185532961,10.40001473,40.04212282,2.424177718,Y,N,0.0
202,Cascadia,38.0,-125.8734021,46.6041614,888.0397928,4.882727334,9.904900763,40.33697187,1.896055205,Y,N,0.0
203,Cascadia,39.0,-125.9609801,46.82072854,848.496166,4.571298941,9.78400325,40.6229701,4.623952098,Y,N,0.0
204,Cascadia,40.0,-126.0485932,47.0373484,827.5216272,4.277196376,9.989536143,40.91783474,2.949356378,Y,N,0.0
205,Cascadia,41.0,-126.1362428,47.25402082,815.646151,3.970938452,10.22838214,41.20384448,1.919900324,Y,N,0.0
